Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded,FIGI,SecurityType
HUM,Humana,reports,Health Care,Managed Health Care,"Louisville, Kentucky",,49071,1961,BBG000BLKK03,Common Stock
HBAN,Huntington Bancshares,reports,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",,49196,1866,BBG000BKWSR6,Common Stock
HII,Huntington Ingalls Industries,reports,Industrials,Aerospace & Defense,"Newport News, Virginia",03/01/2018,1501585,2011,BBG001KJ2HM9,Common Stock
IEX,IDEX,reports,Industrials,Industrial Machinery,"Lake Forest, Illinois",09/08/2019,832101,1988,BBG000C1HN22,Common Stock
IDXX,Idexx Laboratories,reports,Health Care,Health Care Equipment,"Westbrook, Maine",05/01/2017,874716,1983,BBG000BLRT07,Common Stock
INFO,IHS Markit,reports,Industrials,Research & Consulting Services,"London, England",02/06/2017,1598014,1959,,
ITW,Illinois Tool Works,reports,Industrials,Industrial Machinery,"Glenview, Illinois",28/02/1986,49826,1912,BBG000BMBL90,Common Stock
ILMN,Illumina,reports,Health Care,Life Sciences Tools & Services,"San Diego, California",19/11/2015,1110803,1998,BBG000DSMS70,Common Stock
INCY,Incyte,reports,Health Care,Biotechnology,"Wilmington, Delaware",28/02/2017,879169,1991,BBG000BNPSQ9,Common Stock
IR,Ingersoll Rand,reports,Industrials,Industrial Machinery,"Davidson, North Carolina",03/03/2020,1699150,1859,BBG002R1CW27,Common Stock
INTC,Intel,reports,Information Technology,Semiconductors,"Santa Clara, California",31/12/1976,50863,1968,BBG000C0G1D1,Common Stock
ICE,Intercontinental Exchange,reports,Financials,Financial Exchanges & Data,"Atlanta, Georgia",26/09/2007,1571949,2000,BBG000C1FB75,Common Stock
IBM,IBM,reports,Information Technology,IT Consulting & Other Services,"Armonk, New York",04/03/1957,51143,1911,BBG000BLNNH6,Common Stock
IP,International Paper,reports,Materials,Paper Packaging,"Memphis, Tennessee",04/03/1957,51434,1898,BBG000BM5SR2,Common Stock
IPG,Interpublic Group,reports,Communication Services,Advertising,"New York City, New York",01/10/1992,51644,1961 (1930),BBG000C90DH9,Common Stock
IFF,International Flavors & Fragrances,reports,Materials,Specialty Chemicals,"New York City, New York",31/03/1976,51253,1958 (1889),BBG000BLSL58,Common Stock
INTU,Intuit,reports,Information Technology,Application Software,"Mountain View, California",05/12/2000,896878,1983,BBG000BH5DV1,Common Stock
ISRG,Intuitive Surgical,reports,Health Care,Health Care Equipment,"Sunnyvale, California",02/06/2008,1035267,1995,BBG000BJPDZ1,Common Stock
IVZ,Invesco,reports,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",21/08/2008,914208,1935,BBG000BY2Y78,Common Stock
IPGP,IPG Photonics,reports,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts",07/03/2018,1111928,1990,BBG000DCGRL8,Common Stock
IQV,IQVIA,reports,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",29/08/2017,1478242,1982,BBG00333FYS2,Common Stock
IRM,Iron Mountain,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",06/01/2009,1020569,1951,BBG000KCZPC3,REIT
JBHT,J.B. Hunt,reports,Industrials,Trucking,"Lowell, Arkansas",01/07/2015,728535,1961,BBG000BMDBZ1,Common Stock
JKHY,Jack Henry & Associates,reports,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",13/11/2018,779152,1976,BBG000BMH2Q7,Common Stock
J,Jacobs,reports,Industrials,Construction & Engineering,"Dallas, Texas",26/10/2007,52988,1947,BBG019C1BQR4,Common Stock
JNJ,Johnson & Johnson,reports,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",30/06/1973,200406,1886,BBG000BMHYD1,Common Stock
JCI,Johnson Controls,reports,Industrials,Building Products,"Cork, Ireland",27/08/2010,833444,1885,BBG000BVWLJ6,Common Stock
JPM,JPMorgan Chase,reports,Financials,Diversified Banks,"New York City, New York",30/06/1975,19617,2000 (1799 / 1871),BBG000DMBXR2,Common Stock
JNPR,Juniper Networks,reports,Information Technology,Communications Equipment,"Sunnyvale, California",02/06/2006,1043604,1996,BBG000BY33P5,Common Stock
K,Kellogg's,reports,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",11/09/1989,55067,1906,BBG000BMKDM3,Common Stock
KEY,KeyCorp,reports,Financials,Regional Banks,"Cleveland, Ohio",01/03/1994,91576,1825,BBG000BMQPL1,Common Stock
KEYS,Keysight Technologies,reports,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",06/11/2018,1601046,2014,BBG0059FN811,Common Stock
KMB,Kimberly-Clark,reports,Consumer Staples,Household Products,"Irving, Texas",04/03/1957,55785,1872,BBG000BMW2Z0,Common Stock
KIM,Kimco Realty,reports,Real Estate,Retail REITs,"New Hyde Park, New York",04/04/2006,879101,1958,BBG000CN3S73,REIT
KMI,Kinder Morgan,reports,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",25/05/2012,1506307,1997,BBG0019JZ882,Common Stock
KLAC,KLA Corporation,reports,Information Technology,Semiconductor Equipment,"Milpitas, California",,319201,1975/1977 (1997),BBG000BMTFR4,Common Stock
KHC,Kraft Heinz,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",06/07/2015,1637459,2015 (1869),BBG005CPNTQ2,Common Stock
KR,Kroger,reports,Consumer Staples,Food Retail,"Cincinnati, Ohio",04/03/1957,56873,1883,BBG000BMY992,Common Stock
LHX,L3Harris Technologies,reports,Industrials,Aerospace & Defense,"Melbourne, Florida",22/09/2008,202058,2019 (1895),BBG000BLGFJ9,Common Stock
LH,LabCorp,reports,Health Care,Health Care Services,"Burlington, North Carolina",01/11/2004,920148,1978,BBG01MMT6PL7,Common Stock
LRCX,Lam Research,reports,Information Technology,Semiconductor Equipment,"Fremont, California",29/06/2012,707549,1980,BBG000BNFLM9,Common Stock
LW,Lamb Weston,reports,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",03/12/2018,1679273,2016 (1950),BBG003CVMLQ2,Common Stock
LVS,Las Vegas Sands,reports,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",03/10/2019,1300514,1988,BBG000JWD753,Common Stock
LDOS,Leidos,reports,Industrials,Diversified Support Services,"Reston, Virginia",09/08/2019,1336920,1969,BBG000C23PB0,Common Stock
LEN,Lennar,reports,Consumer Discretionary,Homebuilding,"Miami, Florida",04/10/2005,920760,1954,BBG000BN5HF7,Common Stock
